case_id,scenario,target_size,sequence_a_length,sequence_b_length,algorithm,median_time_ms,score,runs,warmup
contained_8_n200,contained_fragment,200,100,216,CPython,3.84065,200,10,2
contained_9_n200,contained_fragment,200,100,216,CPython,3.6787,200,10,2
random_0_n200,random_uniform,200,200,200,CPython,6.794,84,10,2
random_1_n200,random_uniform,200,200,200,CPython,6.80175,86,10,2
random_2_n200,random_uniform,200,200,200,CPython,6.77975,88,10,2
random_3_n200,random_uniform,200,200,200,CPython,7.49365,82,10,2
random_4_n200,random_uniform,200,200,200,CPython,7.55815,95,10,2
random_5_n200,random_uniform,200,200,200,CPython,6.976,83,10,2
random_6_n200,random_uniform,200,200,200,CPython,6.7762,95,10,2
random_7_n200,random_uniform,200,200,200,CPython,6.9701,100,10,2
random_8_n200,random_uniform,200,200,200,CPython,7.14245,99,10,2
random_9_n200,random_uniform,200,200,200,CPython,7.1974,85,10,2
homologous_0_n500,homologous_region,500,500,500,CPython,53.6299,934,10,2
homologous_1_n500,homologous_region,500,500,500,CPython,53.09445,925,10,2
homologous_2_n500,homologous_region,500,500,500,CPython,56.27355,931,10,2
homologous_3_n500,homologous_region,500,500,500,CPython,53.29535,925,10,2
homologous_4_n500,homologous_region,500,500,500,CPython,53.657,925,10,2
homologous_5_n500,homologous_region,500,500,500,CPython,53.6238,925,10,2
homologous_6_n500,homologous_region,500,500,500,CPython,53.40765,925,10,2
homologous_7_n500,homologous_region,500,500,500,CPython,53.21595,925,10,2
homologous_8_n500,homologous_region,500,500,500,CPython,53.6042,925,10,2
homologous_9_n500,homologous_region,500,500,500,CPython,53.44375,928,10,2
indel_0_n500,indel_disruption,500,500,562,CPython,61.0643,876,10,2
indel_1_n500,indel_disruption,500,500,438,CPython,46.3952,749,10,2
indel_2_n500,indel_disruption,500,500,562,CPython,61.4517,876,10,2
indel_3_n500,indel_disruption,500,500,438,CPython,46.2035,749,10,2
indel_4_n500,indel_disruption,500,500,562,CPython,61.3533,876,10,2
indel_5_n500,indel_disruption,500,500,438,CPython,45.91455,749,10,2
indel_6_n500,indel_disruption,500,500,562,CPython,61.3311,876,10,2
indel_7_n500,indel_disruption,500,500,438,CPython,45.1755,749,10,2
indel_8_n500,indel_disruption,500,500,562,CPython,59.61395,876,10,2
indel_9_n500,indel_disruption,500,500,438,CPython,46.45265,749,10,2
motif_0_n500,conserved_motif,500,500,500,CPython,51.38835,262,10,2
motif_1_n500,conserved_motif,500,500,500,CPython,51.9063,355,10,2
motif_2_n500,conserved_motif,500,500,500,CPython,52.22225,295,10,2
motif_3_n500,conserved_motif,500,500,500,CPython,51.6211,329,10,2
motif_4_n500,conserved_motif,500,500,500,CPython,51.47435,289,10,2
motif_5_n500,conserved_motif,500,500,500,CPython,51.2801,271,10,2
motif_6_n500,conserved_motif,500,500,500,CPython,51.8079,308,10,2
motif_7_n500,conserved_motif,500,500,500,CPython,50.2382,207,10,2
motif_8_n500,conserved_motif,500,500,500,CPython,50.4242,263,10,2
motif_9_n500,conserved_motif,500,500,500,CPython,51.5042,288,10,2
contained_0_n500,contained_fragment,500,250,541,CPython,28.5119,500,10,2
contained_1_n500,contained_fragment,500,250,541,CPython,29.37065,500,10,2
contained_2_n500,contained_fragment,500,250,541,CPython,27.38745,500,10,2
contained_3_n500,contained_fragment,500,250,541,CPython,28.09665,500,10,2
