scenario,target_size,algorithm,median_time_mean_ms,median_time_median_ms,median_time_std_ms,median_time_iqr_ms,median_time_q1_ms,median_time_q3_ms,score_mean,score_median,sequence_a_length_mean,sequence_a_length_median,sequence_b_length_mean,sequence_b_length_median,observations
contained_fragment,400,CPython,16.406875,16.406875,0.03305724202047193,0.023374999999997925,16.395187500000002,16.4185625,400.0,400.0,200.0,200.0,433.0,433.0,2
contained_fragment,400,CPython JIT,12.694424999999999,12.694424999999999,0.12144558966878974,0.0858749999999997,12.6514875,12.7373625,400.0,400.0,200.0,200.0,433.0,433.0,2
contained_fragment,400,Cython,5.93695,5.93695,0.03181980515339459,0.022499999999999076,5.925700000000001,5.9482,400.0,400.0,200.0,200.0,433.0,433.0,2
contained_fragment,400,PyPy,1.8899,1.8899,0.008485281374238578,0.006000000000000227,1.8868999999999998,1.8929,400.0,400.0,200.0,200.0,433.0,433.0,2
contained_fragment,600,CPython,39.96565,39.96565,1.854246112305483,1.311150000000005,39.310075,40.621225,600.0,600.0,300.0,300.0,650.0,650.0,2
contained_fragment,600,CPython JIT,33.0269,33.0269,0.5522503961066902,0.39049999999999585,32.83165,33.22215,600.0,600.0,300.0,300.0,650.0,650.0,2
contained_fragment,600,Cython,11.64695,11.64695,0.24621458120915543,0.17410000000000103,11.559899999999999,11.734,600.0,600.0,300.0,300.0,650.0,650.0,2
contained_fragment,600,PyPy,5.564325,5.564325,0.4823528907864034,0.341075,5.3937875,5.7348625,600.0,600.0,300.0,300.0,650.0,650.0,2
contained_fragment,800,CPython,78.167075,78.167075,0.4962121836976626,0.35087500000000205,77.9916375,78.3425125,800.0,800.0,400.0,400.0,866.0,866.0,2
contained_fragment,800,CPython JIT,66.85204999999999,66.85204999999999,7.644672832763997,5.405600000000007,64.14925,69.55485,800.0,800.0,400.0,400.0,866.0,866.0,2
contained_fragment,800,Cython,21.296125,21.296125,0.1350927505456878,0.09552500000000208,21.2483625,21.3438875,800.0,800.0,400.0,400.0,866.0,866.0,2
contained_fragment,800,PyPy,6.76525,6.76525,0.10684383463728703,0.07554999999999978,6.727475,6.803025,800.0,800.0,400.0,400.0,866.0,866.0,2
contained_fragment,1000,CPython,172.1687,172.1687,11.76321627978504,8.317850000000021,168.009775,176.327625,1000.0,1000.0,500.0,500.0,1083.0,1083.0,2
contained_fragment,1000,CPython JIT,82.86605,82.86605,0.887701853101598,0.6277000000000044,82.5522,83.1799,1000.0,1000.0,500.0,500.0,1083.0,1083.0,2
contained_fragment,1000,Cython,32.707425,32.707425,1.516213715559254,1.0721249999999998,32.1713625,33.2434875,1000.0,1000.0,500.0,500.0,1083.0,1083.0,2
contained_fragment,1000,PyPy,10.60795,10.60795,0.08400428560496201,0.05940000000000012,10.57825,10.63765,1000.0,1000.0,500.0,500.0,1083.0,1083.0,2
homologous_region,100,CPython,1.6581,1.6581,0.03125411972844541,0.02210000000000001,1.64705,1.66915,185.0,185.0,100.0,100.0,100.0,100.0,2
homologous_region,100,CPython JIT,1.586775,1.586775,0.009581296885077684,0.0067749999999997534,1.5833875000000002,1.5901625,185.0,185.0,100.0,100.0,100.0,100.0,2
homologous_region,100,Cython,0.702375,0.702375,0.009722718241315096,0.0068750000000000755,0.6989375,0.7058125000000001,185.0,185.0,100.0,100.0,100.0,100.0,2
homologous_region,100,PyPy,0.449575,0.449575,0.3062125915928344,0.21652499999999997,0.3413125,0.5578375,185.0,185.0,100.0,100.0,100.0,100.0,2
homologous_region,200,CPython,7.0352,7.0352,0.07594326829943532,0.05369999999999919,7.00835,7.062049999999999,371.5,371.5,200.0,200.0,200.0,200.0,2
homologous_region,200,CPython JIT,6.25045,6.25045,0.047588286373854274,0.033649999999999736,6.233625,6.267275,371.5,371.5,200.0,200.0,200.0,200.0,2
homologous_region,200,Cython,2.755475,2.755475,0.06848329175791704,0.04842499999999994,2.7312625,2.7796875,371.5,371.5,200.0,200.0,200.0,200.0,2
homologous_region,200,PyPy,0.8241,0.8241,0.022768838354206795,0.016099999999999892,0.81605,0.83215,371.5,371.5,200.0,200.0,200.0,200.0,2
homologous_region,400,CPython,31.24105,31.24105,0.3830397433687557,0.27084999999999937,31.105625,31.376475,740.0,740.0,400.0,400.0,400.0,400.0,2
homologous_region,400,CPython JIT,25.887549999999997,25.887549999999997,0.4721351977982565,0.33385000000000176,25.720625,26.054475,740.0,740.0,400.0,400.0,400.0,400.0,2
homologous_region,400,Cython,11.581299999999999,11.581299999999999,0.3618265399331553,0.2558500000000006,11.453375,11.709225,740.0,740.0,400.0,400.0,400.0,400.0,2
homologous_region,400,PyPy,3.5740749999999997,3.5740749999999997,0.06204862004911985,0.04387500000000033,3.5521374999999997,3.5960125,740.0,740.0,400.0,400.0,400.0,400.0,2
homologous_region,600,CPython,75.09309999999999,75.09309999999999,2.716138567893772,1.9205999999999932,74.1328,76.0534,1113.0,1113.0,600.0,600.0,600.0,600.0,2
homologous_region,600,CPython JIT,59.541624999999996,59.541624999999996,4.428291572519809,3.131274999999995,57.9759875,61.1072625,1113.0,1113.0,600.0,600.0,600.0,600.0,2
homologous_region,600,Cython,23.804225000000002,23.804225000000002,0.2611698896312531,0.18467500000000214,23.7118875,23.8965625,1113.0,1113.0,600.0,600.0,600.0,600.0,2
homologous_region,600,PyPy,9.094975,9.094975,0.4371687674685828,0.3091249999999981,8.9404125,9.249537499999999,1113.0,1113.0,600.0,600.0,600.0,600.0,2
homologous_region,800,CPython,138.940075,138.940075,3.415290397791963,2.41497499999997,137.73258750000002,140.1475625,1485.0,1485.0,800.0,800.0,800.0,800.0,2
homologous_region,800,CPython JIT,106.83735,106.83735,8.001549625228852,5.65795,104.008375,109.666325,1485.0,1485.0,800.0,800.0,800.0,800.0,2
homologous_region,800,Cython,43.199775,43.199775,0.909869650691791,0.6433749999999989,42.8780875,43.5214625,1485.0,1485.0,800.0,800.0,800.0,800.0,2
homologous_region,800,PyPy,19.60425,19.60425,5.644126327431022,3.9909999999999997,17.60875,21.59975,1485.0,1485.0,800.0,800.0,800.0,800.0,2
homologous_region,1000,CPython,227.453975,227.453975,1.2754438565652306,0.9018749999999898,227.0030375,227.9049125,1859.0,1859.0,1000.0,1000.0,1000.0,1000.0,2
homologous_region,1000,CPython JIT,164.2323,164.2323,6.982043068114088,4.937049999999999,161.763775,166.700825,1859.0,1859.0,1000.0,1000.0,1000.0,1000.0,2
homologous_region,1000,Cython,67.60565,67.60565,0.47369083271687207,0.3349500000000063,67.438175,67.77312500000001,1859.0,1859.0,1000.0,1000.0,1000.0,1000.0,2
homologous_region,1000,PyPy,19.698075000000003,19.698075000000003,0.19427758813100585,0.13737500000000225,19.6293875,19.766762500000002,1859.0,1859.0,1000.0,1000.0,1000.0,1000.0,2
indel_disruption,100,CPython,1.652425,1.652425,0.27311999423330396,0.1931250000000002,1.5558625,1.7489875000000001,162.5,162.5,100.0,100.0,100.0,100.0,2
indel_disruption,100,CPython JIT,1.5210499999999998,1.5210499999999998,0.2607809809015987,0.1843999999999999,1.42885,1.6132499999999999,162.5,162.5,100.0,100.0,100.0,100.0,2
indel_disruption,100,Cython,0.706425,0.706425,0.12038492949700973,0.0851249999999999,0.6638625,0.7489874999999999,162.5,162.5,100.0,100.0,100.0,100.0,2
indel_disruption,100,PyPy,0.23765,0.23765,0.031183409050326728,0.02204999999999996,0.22662500000000002,0.24867499999999998,162.5,162.5,100.0,100.0,100.0,100.0,2
indel_disruption,200,CPython,6.6547,6.6547,1.0598823543205165,0.7494500000000004,6.279974999999999,7.029425,323.5,323.5,200.0,200.0,200.0,200.0,2
indel_disruption,200,CPython JIT,6.11735,6.11735,1.2826917010723973,0.907,5.66385,6.57085,323.5,323.5,200.0,200.0,200.0,200.0,2
indel_disruption,200,Cython,2.83195,2.83195,0.5152687114506371,0.36434999999999995,2.649775,3.014125,323.5,323.5,200.0,200.0,200.0,200.0,2
indel_disruption,200,PyPy,0.961975,0.961975,0.33216341046238074,0.23487499999999994,0.8445374999999999,1.0794124999999999,323.5,323.5,200.0,200.0,200.0,200.0,2
indel_disruption,400,CPython,30.4891,30.4891,6.347202599964807,4.488149999999997,28.245025,32.733174999999996,648.5,648.5,400.0,400.0,400.0,400.0,2
indel_disruption,400,CPython JIT,25.011274999999998,25.011274999999998,5.8345855389436165,4.1256749999999975,22.9484375,27.0741125,648.5,648.5,400.0,400.0,400.0,400.0,2
indel_disruption,400,Cython,11.72425,11.72425,0.9872624878926579,0.6981000000000002,11.3752,12.0733,648.5,648.5,400.0,400.0,400.0,400.0,2
indel_disruption,400,PyPy,3.7333,3.7333,0.5393810526890983,0.38139999999999974,3.5426,3.924,648.5,648.5,400.0,400.0,400.0,400.0,2
indel_disruption,600,CPython,75.18017499999999,75.18017499999999,12.985768549117523,9.182325000000006,70.5890125,79.7713375,973.5,973.5,600.0,600.0,600.0,600.0,2
indel_disruption,600,CPython JIT,60.120450000000005,60.120450000000005,6.831217191687002,4.8304000000000045,57.70525,62.535650000000004,973.5,973.5,600.0,600.0,600.0,600.0,2
indel_disruption,600,Cython,23.1344,23.1344,4.800689358831709,3.394599999999997,21.4371,24.831699999999998,973.5,973.5,600.0,600.0,600.0,600.0,2
indel_disruption,600,PyPy,7.952125,7.952125,1.7012635601957733,1.2029750000000003,7.3506374999999995,8.5536125,973.5,973.5,600.0,600.0,600.0,600.0,2
indel_disruption,800,CPython,142.2443,142.2443,30.317486086085697,21.437699999999978,131.52545,152.96314999999998,1298.5,1298.5,800.0,800.0,800.0,800.0,2
indel_disruption,800,CPython JIT,116.330625,116.330625,31.150422518984396,22.026674999999997,105.3172875,127.3439625,1298.5,1298.5,800.0,800.0,800.0,800.0,2
indel_disruption,800,Cython,42.965275000000005,42.965275000000005,5.714801650210619,4.040974999999996,40.944787500000004,44.9857625,1298.5,1298.5,800.0,800.0,800.0,800.0,2
indel_disruption,800,PyPy,13.627125,13.627125,2.961822819017032,2.0943249999999995,12.5799625,14.6742875,1298.5,1298.5,800.0,800.0,800.0,800.0,2
indel_disruption,1000,CPython,239.335525,239.335525,48.394069906355774,34.21977499999997,222.2256375,256.4454125,1623.5,1623.5,1000.0,1000.0,1000.0,1000.0,2
indel_disruption,1000,CPython JIT,163.539275,163.539275,27.948501592415465,19.762575000000027,153.6579875,173.42056250000002,1623.5,1623.5,1000.0,1000.0,1000.0,1000.0,2
indel_disruption,1000,Cython,67.000325,67.000325,14.254671667956792,10.079574999999991,61.9605375,72.04011249999999,1623.5,1623.5,1000.0,1000.0,1000.0,1000.0,2
indel_disruption,1000,PyPy,19.444525,19.444525,3.8552522370462334,2.726074999999998,18.0814875,20.8075625,1623.5,1623.5,1000.0,1000.0,1000.0,1000.0,2
random_uniform,100,CPython,1.668175,1.668175,3.535533905924498e-05,2.4999999999941735e-05,1.6681625,1.6681875,44.5,44.5,100.0,100.0,100.0,100.0,2
random_uniform,100,CPython JIT,1.5507749999999998,1.5507749999999998,0.04507805730064246,0.0318750000000001,1.5348374999999999,1.5667125,44.5,44.5,100.0,100.0,100.0,100.0,2
random_uniform,100,Cython,0.72725,0.72725,0.045254833995938964,0.03199999999999992,0.71125,0.74325,44.5,44.5,100.0,100.0,100.0,100.0,2
random_uniform,100,PyPy,0.186975,0.186975,0.002793071785686869,0.0019750000000000045,0.1859875,0.1879625,44.5,44.5,100.0,100.0,100.0,100.0,2
random_uniform,200,CPython,6.6954,6.6954,0.14976521625531092,0.1059000000000001,6.64245,6.74835,85.0,85.0,200.0,200.0,200.0,200.0,2
random_uniform,200,CPython JIT,5.903125,5.903125,0.020329319959113593,0.01437499999999936,5.8959375000000005,5.9103125,85.0,85.0,200.0,200.0,200.0,200.0,2
random_uniform,200,Cython,2.71855,2.71855,0.11943033534240775,0.08444999999999947,2.6763250000000003,2.7607749999999998,85.0,85.0,200.0,200.0,200.0,200.0,2
random_uniform,200,PyPy,0.7898000000000001,0.7898000000000001,0.01753624817342637,0.012400000000000078,0.7836,0.796,85.0,85.0,200.0,200.0,200.0,200.0,2
random_uniform,400,CPython,30.624375,30.624375,0.6686048169509419,0.47277500000000217,30.387987499999998,30.8607625,175.0,175.0,400.0,400.0,400.0,400.0,2
random_uniform,400,CPython JIT,39.433925,39.433925,4.9138617991606175,3.474624999999996,37.6966125,41.1712375,175.0,175.0,400.0,400.0,400.0,400.0,2
random_uniform,400,Cython,10.04185,10.04185,0.3563818177180209,0.25200000000000244,9.915849999999999,10.167850000000001,175.0,175.0,400.0,400.0,400.0,400.0,2
random_uniform,400,PyPy,3.402175,3.402175,0.13933539123280916,0.09852499999999953,3.3529125000000004,3.4514375,175.0,175.0,400.0,400.0,400.0,400.0,2
random_uniform,600,CPython,71.4759,71.4759,1.1595136997897013,0.8199000000000041,71.06595,71.88585,266.0,266.0,600.0,600.0,600.0,600.0,2
random_uniform,600,CPython JIT,62.8742,62.8742,9.264230204393671,6.550799999999995,59.5988,66.14959999999999,266.0,266.0,600.0,600.0,600.0,600.0,2
random_uniform,600,Cython,19.06015,19.06015,1.7930106650547275,1.2678499999999957,18.426225000000002,19.694074999999998,266.0,266.0,600.0,600.0,600.0,600.0,2
random_uniform,600,PyPy,7.883649999999999,7.883649999999999,0.08322646814565643,0.05885000000000051,7.854225,7.913075,266.0,266.0,600.0,600.0,600.0,600.0,2
random_uniform,800,CPython,136.5122,136.5122,2.6257703212581407,1.8567000000000178,135.58384999999998,137.44055,343.0,343.0,800.0,800.0,800.0,800.0,2
random_uniform,800,CPython JIT,102.977525,102.977525,5.410745734300402,3.8259749999999997,101.0645375,104.8905125,343.0,343.0,800.0,800.0,800.0,800.0,2
random_uniform,800,Cython,36.498000000000005,36.498000000000005,1.3852928950225674,0.9795499999999961,36.008225,36.987775,343.0,343.0,800.0,800.0,800.0,800.0,2
random_uniform,800,PyPy,11.529125,11.529125,0.014177490962789266,0.010025000000000617,11.5241125,11.5341375,343.0,343.0,800.0,800.0,800.0,800.0,2
random_uniform,1000,CPython,247.633125,247.633125,1.793187441750035,1.2679749999999785,246.99913750000002,248.2671125,436.0,436.0,1000.0,1000.0,1000.0,1000.0,2
random_uniform,1000,CPython JIT,152.802725,152.802725,3.4805563536954875,2.4611250000000098,151.5721625,154.0332875,436.0,436.0,1000.0,1000.0,1000.0,1000.0,2
random_uniform,1000,Cython,59.19945,59.19945,0.3988789352673288,0.28204999999999814,59.058425,59.340475,436.0,436.0,1000.0,1000.0,1000.0,1000.0,2
random_uniform,1000,PyPy,17.515900000000002,17.515900000000002,0.1923330444827436,0.13599999999999923,17.4479,17.5839,436.0,436.0,1000.0,1000.0,1000.0,1000.0,2
