case_id,scenario,target_size,algorithm,run_index,is_warmup,time_ms
homologous_7_n100,homologous_region,100,CPython,8,False,1.7843
homologous_7_n100,homologous_region,100,CPython,9,False,1.808
homologous_7_n100,homologous_region,100,CPython,10,False,2.16
homologous_7_n100,homologous_region,100,CPython,11,False,1.9069
homologous_8_n100,homologous_region,100,CPython,0,True,1.934
homologous_8_n100,homologous_region,100,CPython,1,True,1.8101
homologous_8_n100,homologous_region,100,CPython,2,False,1.8062
homologous_8_n100,homologous_region,100,CPython,3,False,1.8044
homologous_8_n100,homologous_region,100,CPython,4,False,1.7517
homologous_8_n100,homologous_region,100,CPython,5,False,1.7549
homologous_8_n100,homologous_region,100,CPython,6,False,2.285
homologous_8_n100,homologous_region,100,CPython,7,False,2.8501
homologous_8_n100,homologous_region,100,CPython,8,False,3.2252
homologous_8_n100,homologous_region,100,CPython,9,False,3.313
homologous_8_n100,homologous_region,100,CPython,10,False,2.2981
homologous_8_n100,homologous_region,100,CPython,11,False,1.6883
homologous_9_n100,homologous_region,100,CPython,0,True,1.7316
homologous_9_n100,homologous_region,100,CPython,1,True,1.8487
homologous_9_n100,homologous_region,100,CPython,2,False,1.7191
homologous_9_n100,homologous_region,100,CPython,3,False,1.6683
homologous_9_n100,homologous_region,100,CPython,4,False,1.7153
homologous_9_n100,homologous_region,100,CPython,5,False,1.7029
homologous_9_n100,homologous_region,100,CPython,6,False,2.8871
homologous_9_n100,homologous_region,100,CPython,7,False,37.7466
homologous_9_n100,homologous_region,100,CPython,8,False,4.0335
homologous_9_n100,homologous_region,100,CPython,9,False,3.4935
homologous_9_n100,homologous_region,100,CPython,10,False,3.2883
homologous_9_n100,homologous_region,100,CPython,11,False,3.2543
indel_0_n100,indel_disruption,100,CPython,0,True,3.7031
indel_0_n100,indel_disruption,100,CPython,1,True,4.1182
indel_0_n100,indel_disruption,100,CPython,2,False,4.0566
indel_0_n100,indel_disruption,100,CPython,3,False,11.5569
indel_0_n100,indel_disruption,100,CPython,4,False,2.1396
indel_0_n100,indel_disruption,100,CPython,5,False,2.008
indel_0_n100,indel_disruption,100,CPython,6,False,1.9137
indel_0_n100,indel_disruption,100,CPython,7,False,1.9188
indel_0_n100,indel_disruption,100,CPython,8,False,1.9555
indel_0_n100,indel_disruption,100,CPython,9,False,2.1959
indel_0_n100,indel_disruption,100,CPython,10,False,3.6967
indel_0_n100,indel_disruption,100,CPython,11,False,3.8028
indel_1_n100,indel_disruption,100,CPython,0,True,3.2529
indel_1_n100,indel_disruption,100,CPython,1,True,3.394
indel_1_n100,indel_disruption,100,CPython,2,False,3.4246
indel_1_n100,indel_disruption,100,CPython,3,False,2.231
indel_1_n100,indel_disruption,100,CPython,4,False,1.8253
indel_1_n100,indel_disruption,100,CPython,5,False,1.7483
indel_1_n100,indel_disruption,100,CPython,6,False,1.7464
indel_1_n100,indel_disruption,100,CPython,7,False,1.7478
indel_1_n100,indel_disruption,100,CPython,8,False,1.7529
indel_1_n100,indel_disruption,100,CPython,9,False,1.78
indel_1_n100,indel_disruption,100,CPython,10,False,1.9067
indel_1_n100,indel_disruption,100,CPython,11,False,1.7913
indel_2_n100,indel_disruption,100,CPython,0,True,2.4253
indel_2_n100,indel_disruption,100,CPython,1,True,2.8029
indel_2_n100,indel_disruption,100,CPython,2,False,1.9959
indel_2_n100,indel_disruption,100,CPython,3,False,1.8753
indel_2_n100,indel_disruption,100,CPython,4,False,1.902
indel_2_n100,indel_disruption,100,CPython,5,False,1.876
indel_2_n100,indel_disruption,100,CPython,6,False,1.9398
indel_2_n100,indel_disruption,100,CPython,7,False,2.0464
indel_2_n100,indel_disruption,100,CPython,8,False,2.7662
indel_2_n100,indel_disruption,100,CPython,9,False,1.9641
indel_2_n100,indel_disruption,100,CPython,10,False,1.9225
indel_2_n100,indel_disruption,100,CPython,11,False,1.858
indel_3_n100,indel_disruption,100,CPython,0,True,1.4851
indel_3_n100,indel_disruption,100,CPython,1,True,1.4784
indel_3_n100,indel_disruption,100,CPython,2,False,1.4714
indel_3_n100,indel_disruption,100,CPython,3,False,1.4741
indel_3_n100,indel_disruption,100,CPython,4,False,1.4742
indel_3_n100,indel_disruption,100,CPython,5,False,1.756
indel_3_n100,indel_disruption,100,CPython,6,False,1.8561
indel_3_n100,indel_disruption,100,CPython,7,False,1.5561
indel_3_n100,indel_disruption,100,CPython,8,False,1.5186
